,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
12 Engineering etc,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
13 Other industry,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
14 Construction,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
15 Rail transport,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
16 Road transport,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
17 Domestic aviation,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
18 Other transp. serv.,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
19 Households,2051.2822,2229.5364,2283.6526,2283.6526,2283.6526,2283.6526,2283.6526,2283.6526,2376.5808,2385.9292,2395.3596,2404.4885,2439.6418,2471.6184,2507.3555,2543.8838,2580.2576,2618.7944,2656.4583,2695.761,2736.9688,2777.186,2832.7146,2889.405,2947.8215,3008.6628,3071.0144,3135.2903,3201.5532,3269.8186,3340.01,3408.5374,3481.9392,3557.0088,3634.2451,3712.9863,3792.6038,3876.2065,3960.6448,4044.603,4131.8569,4226.3599,4320.7065,4417.8774,4517.1367,4619.9473,4725.1948,4835.623,4945.0151,5059.8086,5178.8833,5291.3071,5413.9258,5540.8408,5671.6846,5803.8931,5941.6533,6084.8613,6230.2856,6379.0283,6532.1104
"20 Agriculture, forestry",450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
21 Fishing,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
22 Other final use,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
23 Non-energy use,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
24 Aviation bunkers,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
25 Marine bunkers,450.1995,477.0288,472.3897,472.3897,472.3897,472.3897,472.3897,472.3897,497.1273,499.6159,502.1262,504.5564,513.9143,522.4265,531.9397,541.6636,551.3464,561.6049,571.6311,582.0936,593.0631,603.769,618.5508,633.6418,649.1924,665.3884,681.9866,699.0969,716.7361,734.9086,753.5935,771.8357,791.3754,811.359,831.9193,852.8804,874.0746,896.3298,918.8074,941.1572,964.3843,989.5411,1014.6562,1040.5234,1066.9463,1094.3146,1122.3317,1151.7278,1180.8481,1211.4064,1243.1042,1273.0316,1305.6729,1339.4579,1374.2886,1409.4827,1446.1547,1484.2769,1522.9889,1562.5845,1603.3352
