RTI,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
24 Slovenia (SI),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25 Slovakia (SK),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26 Bulgaria (BG),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27 Romania (RO),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28 Norway (NO),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29 Switzerland (CH),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30 Iceland (IS),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31 Croatia (HR),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32 Turkey (TR),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33 Macedonia (MK),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34 USA (US),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35 Japan (JA),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36 Canada (CA),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37 Australia (AU),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38 New Zealand (NZ),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39 Russian Fed. (RS),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40 Rest of Annex I (RA),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41 China (CN),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42 India (IN),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43 Mexico (MX),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44 Brazil (BR),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45 Argentina (AR),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46 Colombia (CO),1.392799973487854,1.3819999694824219,1.3710999488830566,1.3602999448776245,1.3494000434875488,1.3386000394821167,1.3277000188827515,1.3169000148773193,1.305999994277954,1.295199990272522,1.2842999696731567,1.2740000486373901,1.2620999813079834,1.2524000406265259,1.2409000396728516,1.2280999422073364,1.2201000452041626,1.2086999416351318,1.1866999864578247,1.1461000442504883,1.1018999814987183,1.0592999458312988,1.0262999534606934,1.0099999904632568,1.0099999904632568,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
